sale_id,sale_date,customer_name,email,region_name,product_name,category,quantity,sale_amount
10,2023-10-26,Amit Singh,amit.singh@example.com,Central,Laptop,Electronics,1,75000.0
63,2024-06-10,Ravi Chopra,ravi.chopra@example.com,Central,Laptop,Electronics,5,375000.0
80,2024-01-05,Sneha Reddy,sneha.reddy@example.com,Central,Laptop,Electronics,2,150000.0
99,2023-02-24,Simran Mehta,simran.mehta@example.com,Central,Laptop,Electronics,5,375000.0
109,2024-12-26,Arjun Gupta,arjun.gupta@example.com,Central,Laptop,Electronics,5,375000.0
138,2024-09-07,Simran Sharma,simran.sharma@example.com,Central,Laptop,Electronics,5,375000.0
196,2023-01-30,Karan Mehta,karan.mehta@example.com,Central,Laptop,Electronics,5,375000.0
368,2024-02-28,Neha Chopra,neha.chopra@example.com,Central,Laptop,Electronics,5,375000.0
449,2024-06-23,Karan Mehta,karan.mehta@example.com,Central,Laptop,Electronics,1,75000.0
462,2024-12-13,Arjun Chopra,arjun.chopra@example.com,Central,Laptop,Electronics,1,75000.0
516,2024-04-24,Ravi Sharma,ravi.sharma@example.com,Central,Laptop,Electronics,5,375000.0
596,2024-10-24,Amit Kumar,amit.kumar@example.com,Central,Laptop,Electronics,3,225000.0
597,2023-01-04,Simran Reddy,simran.reddy@example.com,Central,Laptop,Electronics,4,300000.0
604,2023-08-04,Amit Reddy,amit.reddy@example.com,Central,Laptop,Electronics,5,375000.0
605,2024-08-18,Priya Reddy,priya.reddy@example.com,Central,Laptop,Electronics,3,225000.0
623,2024-07-21,Simran Kumar,simran.kumar@example.com,Central,Laptop,Electronics,1,75000.0
624,2024-11-23,Sneha Kumar,sneha.kumar@example.com,Central,Laptop,Electronics,1,75000.0
635,2023-10-09,Priya Patel,priya.patel@example.com,Central,Laptop,Electronics,4,300000.0
757,2024-09-19,Karan Mehta,karan.mehta@example.com,Central,Laptop,Electronics,3,225000.0
788,2024-11-01,Neha Sharma,neha.sharma@example.com,Central,Laptop,Electronics,1,75000.0
893,2023-05-20,Ravi Sharma,ravi.sharma@example.com,Central,Laptop,Electronics,2,150000.0
954,2024-05-30,Arjun Singh,arjun.singh@example.com,Central,Laptop,Electronics,1,75000.0
998,2023-09-13,Sneha Verma,sneha.verma@example.com,Central,Laptop,Electronics,2,150000.0
999,2023-06-07,Neha Singh,neha.singh@example.com,Central,Laptop,Electronics,3,225000.0
23,2023-06-13,Arjun Chopra,arjun.chopra@example.com,West,Laptop,Electronics,3,225000.0
52,2023-07-05,Priya Reddy,priya.reddy@example.com,West,Laptop,Electronics,3,225000.0
136,2024-06-14,Arjun Kumar,arjun.kumar@example.com,West,Laptop,Electronics,5,375000.0
143,2024-01-26,Neha Singh,neha.singh@example.com,West,Laptop,Electronics,2,150000.0
147,2023-02-14,Arjun Singh,arjun.singh@example.com,West,Laptop,Electronics,1,75000.0
218,2023-07-19,Amit Gupta,amit.gupta@example.com,West,Laptop,Electronics,3,225000.0
227,2024-06-06,Amit Gupta,amit.gupta@example.com,West,Laptop,Electronics,1,75000.0
331,2023-12-25,Karan Singh,karan.singh@example.com,West,Laptop,Electronics,3,225000.0
348,2024-01-17,Neha Sharma,neha.sharma@example.com,West,Laptop,Electronics,5,375000.0
396,2023-11-21,Arjun Patel,arjun.patel@example.com,West,Laptop,Electronics,5,375000.0
397,2024-03-31,Arjun Chopra,arjun.chopra@example.com,West,Laptop,Electronics,4,300000.0
433,2023-02-12,Karan Verma,karan.verma@example.com,West,Laptop,Electronics,1,75000.0
573,2023-12-09,Priya Patel,priya.patel@example.com,West,Laptop,Electronics,3,225000.0
656,2024-05-07,Pooja Verma,pooja.verma@example.com,West,Laptop,Electronics,2,150000.0
668,2024-09-11,Rahul Verma,rahul.verma@example.com,West,Laptop,Electronics,1,75000.0
706,2024-06-30,Amit Iyer,amit.iyer@example.com,West,Laptop,Electronics,3,225000.0
770,2023-01-24,Rahul Gupta,rahul.gupta@example.com,West,Laptop,Electronics,5,375000.0
792,2024-03-04,Arjun Patel,arjun.patel@example.com,West,Laptop,Electronics,1,75000.0
855,2024-12-03,Rahul Verma,rahul.verma@example.com,West,Laptop,Electronics,4,300000.0
934,2024-04-07,Amit Gupta,amit.gupta@example.com,West,Laptop,Electronics,5,375000.0
959,2023-01-01,Karan Kumar,karan.kumar@example.com,West,Laptop,Electronics,1,75000.0
967,2023-01-22,Priya Kumar,priya.kumar@example.com,West,Laptop,Electronics,4,300000.0
973,2023-03-15,Neha Gupta,neha.gupta@example.com,West,Laptop,Electronics,4,300000.0
976,2024-05-28,Neha Sharma,neha.sharma@example.com,West,Laptop,Electronics,5,375000.0
4,2023-12-01,Arjun Gupta,arjun.gupta@example.com,East,Laptop,Electronics,50,300000.0
38,2023-12-06,Arjun Iyer,arjun.iyer@example.com,East,Laptop,Electronics,4,300000.0
124,2024-10-02,Karan Iyer,karan.iyer@example.com,East,Laptop,Electronics,2,150000.0
230,2024-09-06,Rahul Verma,rahul.verma@example.com,East,Laptop,Electronics,1,75000.0
355,2024-05-26,Priya Reddy,priya.reddy@example.com,East,Laptop,Electronics,5,375000.0
390,2023-02-17,Rahul Reddy,rahul.reddy@example.com,East,Laptop,Electronics,3,225000.0
413,2023-11-24,Amit Gupta,amit.gupta@example.com,East,Laptop,Electronics,5,375000.0
451,2023-04-18,Simran Gupta,simran.gupta@example.com,East,Laptop,Electronics,5,375000.0
459,2024-01-12,Sneha Chopra,sneha.chopra@example.com,East,Laptop,Electronics,3,225000.0
482,2023-08-03,Amit Kumar,amit.kumar@example.com,East,Laptop,Electronics,2,150000.0
517,2024-09-09,Neha Verma,neha.verma@example.com,East,Laptop,Electronics,4,300000.0
600,2024-04-20,Amit Gupta,amit.gupta@example.com,East,Laptop,Electronics,1,75000.0
612,2023-05-31,Rahul Sharma,rahul.sharma@example.com,East,Laptop,Electronics,4,300000.0
626,2024-07-03,Karan Singh,karan.singh@example.com,East,Laptop,Electronics,5,375000.0
683,2023-04-25,Priya Kumar,priya.kumar@example.com,East,Laptop,Electronics,4,300000.0
696,2023-02-01,Karan Sharma,karan.sharma@example.com,East,Laptop,Electronics,5,375000.0
725,2024-08-27,Sneha Kumar,sneha.kumar@example.com,East,Laptop,Electronics,4,300000.0
772,2024-04-29,Neha Kumar,neha.kumar@example.com,East,Laptop,Electronics,1,75000.0
854,2023-06-25,Sneha Iyer,sneha.iyer@example.com,East,Laptop,Electronics,5,375000.0
897,2024-06-20,Arjun Patel,arjun.patel@example.com,East,Laptop,Electronics,4,300000.0
931,2024-11-11,Ravi Sharma,ravi.sharma@example.com,East,Laptop,Electronics,1,75000.0
937,2023-02-09,Neha Singh,neha.singh@example.com,East,Laptop,Electronics,1,75000.0
957,2023-03-08,Simran Iyer,simran.iyer@example.com,East,Laptop,Electronics,5,375000.0
977,2023-02-26,Ravi Chopra,ravi.chopra@example.com,East,Laptop,Electronics,1,75000.0
7,2024-05-13,Sneha Verma,sneha.verma@example.com,South,Laptop,Electronics,2,150000.0
20,2023-08-26,Sneha Verma,sneha.verma@example.com,South,Laptop,Electronics,4,300000.0
219,2023-07-12,Arjun Chopra,arjun.chopra@example.com,South,Laptop,Electronics,5,375000.0
232,2024-02-29,Simran Reddy,simran.reddy@example.com,South,Laptop,Electronics,1,75000.0
244,2023-02-16,Simran Patel,simran.patel@example.com,South,Laptop,Electronics,5,375000.0
371,2024-04-01,Rahul Sharma,rahul.sharma@example.com,South,Laptop,Electronics,3,225000.0
376,2023-09-23,Arjun Chopra,arjun.chopra@example.com,South,Laptop,Electronics,2,150000.0
411,2023-04-25,Ravi Singh,ravi.singh@example.com,South,Laptop,Electronics,2,150000.0
426,2024-04-06,Arjun Gupta,arjun.gupta@example.com,South,Laptop,Electronics,1,75000.0
429,2023-05-22,Karan Mehta,karan.mehta@example.com,South,Laptop,Electronics,4,300000.0
456,2024-07-14,Neha Verma,neha.verma@example.com,South,Laptop,Electronics,4,300000.0
461,2023-07-08,Arjun Singh,arjun.singh@example.com,South,Laptop,Electronics,3,225000.0
519,2023-03-21,Ravi Sharma,ravi.sharma@example.com,South,Laptop,Electronics,4,300000.0
694,2024-12-02,Neha Verma,neha.verma@example.com,South,Laptop,Electronics,5,375000.0
708,2024-12-13,Pooja Chopra,pooja.chopra@example.com,South,Laptop,Electronics,5,375000.0
731,2023-07-13,Neha Sharma,neha.sharma@example.com,South,Laptop,Electronics,1,75000.0
733,2024-01-10,Arjun Reddy,arjun.reddy@example.com,South,Laptop,Electronics,3,225000.0
761,2023-08-21,Neha Kumar,neha.kumar@example.com,South,Laptop,Electronics,4,300000.0
765,2024-05-24,Amit Verma,amit.verma@example.com,South,Laptop,Electronics,3,225000.0
809,2024-11-01,Arjun Gupta,arjun.gupta@example.com,South,Laptop,Electronics,3,225000.0
839,2023-09-19,Amit Gupta,amit.gupta@example.com,South,Laptop,Electronics,3,225000.0
863,2024-07-24,Neha Verma,neha.verma@example.com,South,Laptop,Electronics,5,375000.0
882,2024-05-17,Simran Mehta,simran.mehta@example.com,South,Laptop,Electronics,1,75000.0
59,2023-07-09,Sneha Chopra,sneha.chopra@example.com,North,Laptop,Electronics,2,150000.0
75,2023-12-01,Arjun Iyer,arjun.iyer@example.com,North,Laptop,Electronics,3,225000.0
79,2024-08-05,Rahul Reddy,rahul.reddy@example.com,North,Laptop,Electronics,3,225000.0
90,2023-05-27,Rahul Verma,rahul.verma@example.com,North,Laptop,Electronics,3,225000.0
199,2024-08-30,Amit Kumar,amit.kumar@example.com,North,Laptop,Electronics,4,300000.0
221,2024-03-29,Pooja Sharma,pooja.sharma@example.com,North,Laptop,Electronics,3,225000.0
243,2024-05-26,Pooja Reddy,pooja.reddy@example.com,North,Laptop,Electronics,1,75000.0
250,2023-04-05,Arjun Kumar,arjun.kumar@example.com,North,Laptop,Electronics,3,225000.0
293,2023-09-06,Sneha Verma,sneha.verma@example.com,North,Laptop,Electronics,4,300000.0
297,2023-07-18,Ravi Chopra,ravi.chopra@example.com,North,Laptop,Electronics,4,300000.0
322,2023-03-16,Sneha Kumar,sneha.kumar@example.com,North,Laptop,Electronics,3,225000.0
382,2023-06-08,Ravi Sharma,ravi.sharma@example.com,North,Laptop,Electronics,1,75000.0
407,2023-02-26,Amit Iyer,amit.iyer@example.com,North,Laptop,Electronics,5,375000.0
431,2024-03-03,Ravi Singh,ravi.singh@example.com,North,Laptop,Electronics,4,300000.0
452,2024-05-11,Simran Patel,simran.patel@example.com,North,Laptop,Electronics,3,225000.0
465,2024-02-21,Amit Singh,amit.singh@example.com,North,Laptop,Electronics,5,375000.0
471,2023-06-23,Sneha Kumar,sneha.kumar@example.com,North,Laptop,Electronics,5,375000.0
481,2023-12-18,Sneha Chopra,sneha.chopra@example.com,North,Laptop,Electronics,2,150000.0
483,2023-03-25,Arjun Verma,arjun.verma@example.com,North,Laptop,Electronics,4,300000.0
505,2024-03-24,Rahul Reddy,rahul.reddy@example.com,North,Laptop,Electronics,3,225000.0
518,2024-04-01,Karan Singh,karan.singh@example.com,North,Laptop,Electronics,5,375000.0
563,2023-03-05,Rahul Reddy,rahul.reddy@example.com,North,Laptop,Electronics,5,375000.0
603,2024-01-19,Arjun Chopra,arjun.chopra@example.com,North,Laptop,Electronics,4,300000.0
616,2024-05-28,Ravi Chopra,ravi.chopra@example.com,North,Laptop,Electronics,2,150000.0
674,2023-12-11,Arjun Reddy,arjun.reddy@example.com,North,Laptop,Electronics,2,150000.0
